id,time
0,2009-01-03 18:15:05
1,2009-01-09 02:54:25
2,2009-01-09 02:55:44
3,2009-01-09 03:02:53
4,2009-01-09 03:16:28
5,2009-01-09 03:23:48
6,2009-01-09 03:29:49
7,2009-01-09 03:39:29
8,2009-01-09 03:45:43
9,2009-01-09 03:54:39
10,2009-01-09 04:05:52
11,2009-01-09 04:12:40
12,2009-01-09 04:21:28
13,2009-01-09 04:23:40
14,2009-01-09 04:33:09
15,2009-01-10 04:45:46
16,2009-01-10 04:45:58
17,2009-01-10 05:03:11
18,2009-01-10 05:12:14
19,2009-01-10 05:22:54
20,2009-01-10 05:39:55
21,2009-01-10 05:49:13
22,2009-01-10 06:04:27
23,2009-01-10 06:06:51
24,2009-01-10 06:17:57
25,2009-01-10 06:24:06
26,2009-01-10 06:54:10
27,2009-01-10 06:56:13
28,2009-01-10 15:30:57
29,2009-01-10 15:31:43
30,2009-01-10 15:42:02
31,2009-01-10 15:52:16
32,2009-01-10 15:59:31
33,2009-01-10 16:12:19
34,2009-01-10 16:18:58
35,2009-01-10 16:32:33
36,2009-01-10 16:43:09
37,2009-01-10 16:59:22
38,2009-01-10 17:11:28
39,2009-01-10 17:11:51
40,2009-01-10 17:23:28
41,2009-01-10 17:35:03
42,2009-01-10 17:39:13
43,2009-01-10 17:44:37
44,2009-01-10 17:59:21
45,2009-01-10 18:11:08
46,2009-01-10 18:23:13
47,2009-01-10 18:41:28
48,2009-01-10 18:45:40
49,2009-01-10 18:56:42
50,2009-01-10 19:11:38
51,2009-01-10 19:25:03
52,2009-01-10 19:39:23
53,2009-01-10 19:53:10
54,2009-01-10 19:56:26
55,2009-01-10 20:15:09
56,2009-01-10 20:20:48
57,2009-01-10 20:34:36
58,2009-01-10 20:49:24
59,2009-01-10 20:55:28
60,2009-01-10 21:12:39
61,2009-01-10 21:20:45
62,2009-01-10 21:33:44
63,2009-01-10 21:44:40
64,2009-01-10 21:48:27
65,2009-01-10 21:55:03
66,2009-01-10 22:03:40
67,2009-01-10 22:21:12
68,2009-01-10 22:30:18
69,2009-01-10 22:36:19
70,2009-01-10 22:47:26
71,2009-01-10 23:00:59
72,2009-01-10 23:13:14
73,2009-01-10 23:31:28
74,2009-01-10 23:46:29
75,2009-01-10 23:57:02
76,2009-01-11 00:09:14
77,2009-01-11 00:19:44
78,2009-01-11 01:00:54
79,2009-01-11 03:46:47
80,2009-01-11 03:54:37
81,2009-01-11 04:00:56
82,2009-01-11 04:18:11
83,2009-01-11 04:36:23
84,2009-01-11 04:51:37
85,2009-01-11 05:08:03
86,2009-01-11 05:16:26
87,2009-01-11 05:31:28
88,2009-01-11 05:40:08
89,2009-01-11 05:53:29
90,2009-01-11 05:59:10
91,2009-01-11 06:10:29
92,2009-01-11 06:16:01
93,2009-01-11 06:23:57
94,2009-01-11 06:33:01
95,2009-01-11 06:43:24
96,2009-01-11 06:59:45
97,2009-01-11 07:14:28
98,2009-01-11 07:32:13
99,2009-01-11 07:49:06
100,2009-01-11 08:00:25
101,2009-01-11 08:15:41
102,2009-01-11 08:31:10
103,2009-01-11 08:44:27
104,2009-01-11 08:53:29
105,2009-01-11 09:02:47
106,2009-01-11 09:19:25
107,2009-01-11 09:31:25
108,2009-01-11 09:47:02
109,2009-01-11 09:56:14
110,2009-01-11 10:12:19
111,2009-01-11 10:27:53
112,2009-01-11 10:35:37
113,2009-01-11 10:49:35
114,2009-01-11 11:00:19
115,2009-01-11 11:06:03
116,2009-01-11 11:15:48
117,2009-01-11 11:25:47
118,2009-01-11 11:31:24
119,2009-01-11 11:49:17
120,2009-01-11 12:07:03
121,2009-01-11 12:18:01
122,2009-01-11 12:27:53
123,2009-01-11 12:43:43
124,2009-01-11 12:51:18
125,2009-01-11 13:07:35
126,2009-01-11 13:18:19
127,2009-01-11 13:52:45
128,2009-01-11 13:54:51
129,2009-01-11 14:12:40
130,2009-01-11 14:28:45
131,2009-01-11 14:38:45
132,2009-01-11 14:43:28
133,2009-01-11 14:54:27
134,2009-01-11 15:02:01
135,2009-01-11 15:06:16
136,2009-01-11 15:14:28
137,2009-01-11 15:19:15
138,2009-01-11 15:28:13
139,2009-01-11 15:35:58
140,2009-01-11 15:59:23
141,2009-01-11 16:11:00
142,2009-01-11 16:23:58
143,2009-01-11 16:41:44
144,2009-01-11 16:59:04
145,2009-01-11 17:08:20
146,2009-01-11 17:14:35
147,2009-01-11 17:32:00
148,2009-01-11 17:38:48
149,2009-01-11 17:52:46
150,2009-01-11 18:02:24
151,2009-01-11 18:13:41
152,2009-01-11 18:25:09
153,2009-01-11 18:38:01
154,2009-01-11 18:53:28
155,2009-01-11 19:00:34
156,2009-01-11 19:09:40
157,2009-01-11 19:18:58
158,2009-01-11 19:32:37
159,2009-01-11 19:36:58
160,2009-01-11 19:51:06
161,2009-01-11 20:03:17
162,2009-01-11 20:07:44
163,2009-01-11 23:01:57
164,2009-01-11 23:09:07
165,2009-01-11 23:24:05
166,2009-01-11 23:25:29
167,2009-01-11 23:31:51
168,2009-01-11 23:39:41
169,2009-01-12 03:22:03
170,2009-01-12 03:30:25
171,2009-01-12 03:36:41
172,2009-01-12 03:44:13
173,2009-01-12 03:50:45
174,2009-01-12 04:01:01
175,2009-01-12 04:17:56
176,2009-01-12 04:39:02
177,2009-01-12 05:02:37
178,2009-01-12 05:12:11
179,2009-01-12 05:26:45
180,2009-01-12 05:50:52
181,2009-01-12 06:02:13
182,2009-01-12 06:12:16
183,2009-01-12 06:34:22
184,2009-01-12 06:49:09
185,2009-01-12 06:59:38
186,2009-01-12 07:01:09
187,2009-01-12 07:16:40
188,2009-01-12 07:22:17
189,2009-01-12 07:26:29
190,2009-01-12 07:31:41
191,2009-01-12 07:32:14
192,2009-01-12 07:59:24
193,2009-01-12 08:04:15
194,2009-01-12 08:10:44
195,2009-01-12 08:33:45
196,2009-01-12 08:47:26
197,2009-01-12 09:08:32
198,2009-01-12 09:22:41
199,2009-01-12 09:32:37
200,2009-01-12 09:38:40
201,2009-01-12 09:50:37
202,2009-01-12 10:09:04
203,2009-01-12 10:31:36
204,2009-01-12 10:37:18
205,2009-01-12 10:46:11
206,2009-01-12 10:52:57
207,2009-01-12 10:58:29
208,2009-01-12 11:09:07
209,2009-01-12 11:21:56
210,2009-01-12 11:25:13
211,2009-01-12 11:35:07
212,2009-01-12 11:46:17
213,2009-01-12 12:10:21
214,2009-01-12 12:17:42
215,2009-01-12 12:25:14
216,2009-01-12 12:49:54
217,2009-01-12 13:13:49
218,2009-01-12 13:29:26
219,2009-01-12 13:46:30
220,2009-01-12 13:57:45
221,2009-01-12 14:21:00
222,2009-01-12 14:30:53
223,2009-01-12 14:40:13
224,2009-01-12 14:48:09
225,2009-01-12 15:11:16
226,2009-01-12 15:23:14
227,2009-01-12 15:38:55
228,2009-01-12 15:45:25
229,2009-01-12 15:52:57
230,2009-01-12 16:08:51
231,2009-01-12 16:23:23
232,2009-01-12 16:34:40
233,2009-01-12 16:57:48
234,2009-01-12 17:08:14
235,2009-01-12 17:19:31
236,2009-01-12 17:25:59
237,2009-01-12 17:26:25
238,2009-01-12 17:40:35
239,2009-01-12 17:57:32
240,2009-01-12 18:04:54
241,2009-01-12 18:16:41
242,2009-01-12 18:42:53
243,2009-01-12 19:01:38
244,2009-01-12 19:12:04
245,2009-01-12 19:26:37
246,2009-01-12 19:35:10
247,2009-01-12 19:46:03
248,2009-01-12 20:04:20
249,2009-01-12 20:11:35
250,2009-01-12 20:34:16
251,2009-01-12 20:55:59
252,2009-01-12 21:18:34
253,2009-01-12 21:31:22
254,2009-01-12 21:42:41
255,2009-01-12 21:54:50
256,2009-01-12 22:07:53
257,2009-01-12 22:26:03
258,2009-01-12 22:45:49
259,2009-01-12 23:05:41
260,2009-01-12 23:25:28
261,2009-01-12 23:33:43
262,2009-01-12 23:45:47
263,2009-01-13 00:10:21
264,2009-01-13 00:19:40
265,2009-01-13 00:20:51
266,2009-01-13 00:22:50
267,2009-01-13 00:36:04
268,2009-01-13 00:38:52
269,2009-01-13 00:41:33
270,2009-01-13 01:06:18
271,2009-01-13 01:25:00
272,2009-01-13 01:37:21
273,2009-01-13 01:46:59
274,2009-01-13 01:53:42
275,2009-01-13 02:15:26
276,2009-01-13 02:19:56
277,2009-01-13 02:50:25
278,2009-01-13 03:05:25
279,2009-01-13 03:09:29
280,2009-01-13 03:25:39
281,2009-01-13 03:34:19
282,2009-01-13 03:46:35
283,2009-01-13 03:59:17
284,2009-01-13 04:15:41
285,2009-01-13 04:36:57
286,2009-01-13 04:54:58
287,2009-01-13 05:02:47
288,2009-01-13 05:14:55
289,2009-01-13 05:24:32
290,2009-01-13 05:37:26
291,2009-01-13 05:48:27
292,2009-01-13 06:03:53
293,2009-01-13 06:18:09
294,2009-01-13 06:35:41
295,2009-01-13 06:46:23
296,2009-01-13 06:54:44
297,2009-01-13 06:56:12
298,2009-01-13 07:13:11
299,2009-01-13 07:28:14
300,2009-01-13 07:40:35
301,2009-01-13 07:52:55
302,2009-01-13 08:04:21
303,2009-01-13 08:25:08
304,2009-01-13 08:34:02
305,2009-01-13 08:52:35
306,2009-01-13 09:12:26
307,2009-01-13 09:21:33
308,2009-01-13 09:37:41
309,2009-01-13 09:38:24
310,2009-01-13 09:46:42
311,2009-01-13 09:49:00
312,2009-01-13 10:05:24
313,2009-01-13 10:14:59
314,2009-01-13 10:27:24
315,2009-01-13 10:46:37
316,2009-01-13 10:57:25
317,2009-01-13 11:05:15
318,2009-01-13 11:11:41
319,2009-01-13 11:27:28
320,2009-01-13 11:30:18
321,2009-01-13 11:43:10
322,2009-01-13 11:54:29
323,2009-01-13 12:06:12
324,2009-01-13 12:23:36
325,2009-01-13 12:33:07
326,2009-01-13 12:45:12
327,2009-01-13 12:58:51
328,2009-01-13 13:05:44
329,2009-01-13 13:11:46
330,2009-01-13 13:25:08
331,2009-01-13 13:42:52
332,2009-01-13 13:50:04
333,2009-01-13 13:58:01
334,2009-01-13 14:09:41
335,2009-01-13 14:13:51
336,2009-01-13 14:24:04
337,2009-01-13 14:31:48
338,2009-01-13 14:38:48
339,2009-01-13 14:44:19
340,2009-01-13 14:57:15
341,2009-01-13 15:05:59
342,2009-01-13 15:21:08
343,2009-01-13 15:36:27
344,2009-01-13 15:45:22
345,2009-01-13 15:51:33
346,2009-01-13 15:58:19
347,2009-01-13 16:14:50
348,2009-01-13 16:28:10
349,2009-01-13 16:40:57
350,2009-01-13 16:51:18
351,2009-01-13 17:05:58
352,2009-01-13 17:14:18
353,2009-01-13 17:32:43
354,2009-01-13 17:42:29
355,2009-01-13 17:59:37
356,2009-01-13 18:17:35
357,2009-01-13 18:20:08
358,2009-01-13 18:34:31
359,2009-01-13 18:48:36
360,2009-01-13 18:49:42
361,2009-01-13 18:57:05
362,2009-01-13 19:06:50
363,2009-01-13 19:16:41
364,2009-01-13 19:32:32
365,2009-01-13 19:43:57
366,2009-01-13 19:56:49
367,2009-01-13 20:07:28
368,2009-01-13 20:26:18
369,2009-01-13 20:45:35
370,2009-01-13 20:52:57
371,2009-01-13 21:00:31
372,2009-01-13 21:03:40
373,2009-01-13 21:08:07
374,2009-01-13 21:21:08
375,2009-01-13 21:40:23
376,2009-01-13 21:59:54
377,2009-01-13 22:15:50
378,2009-01-13 22:30:47
379,2009-01-13 22:40:24
380,2009-01-13 22:49:32
381,2009-01-13 23:03:26
382,2009-01-13 23:11:59
383,2009-01-13 23:29:17
384,2009-01-13 23:42:58
385,2009-01-13 23:56:10
386,2009-01-14 00:12:46
387,2009-01-14 00:28:56
388,2009-01-14 00:40:44
389,2009-01-14 00:53:46
390,2009-01-14 01:14:14
391,2009-01-14 01:30:14
392,2009-01-14 01:37:33
393,2009-01-14 01:46:43
394,2009-01-14 01:52:50
395,2009-01-14 01:58:51
396,2009-01-14 02:05:51
397,2009-01-14 02:20:18
398,2009-01-14 02:33:35
399,2009-01-14 02:48:59
400,2009-01-14 03:02:59
401,2009-01-14 03:14:28
402,2009-01-14 03:21:23
403,2009-01-14 03:30:35
404,2009-01-14 03:43:12
405,2009-01-14 04:01:19
406,2009-01-14 04:21:23
407,2009-01-14 04:33:00
408,2009-01-14 04:39:08
409,2009-01-14 04:54:23
410,2009-01-14 05:06:17
411,2009-01-14 05:20:33
412,2009-01-14 05:28:55
413,2009-01-14 05:43:58
414,2009-01-14 05:47:38
415,2009-01-14 05:56:05
416,2009-01-14 06:02:22
417,2009-01-14 06:14:18
418,2009-01-14 06:20:25
419,2009-01-14 06:22:48
420,2009-01-14 06:36:34
421,2009-01-14 06:43:35
422,2009-01-14 06:50:40
423,2009-01-14 07:02:13
424,2009-01-14 07:21:43
425,2009-01-14 07:27:45
426,2009-01-14 07:44:52
427,2009-01-14 08:05:54
428,2009-01-14 08:15:24
429,2009-01-14 08:34:01
430,2009-01-14 08:47:32
431,2009-01-14 08:52:21
432,2009-01-14 08:54:37
433,2009-01-14 09:10:58
434,2009-01-14 09:13:14
435,2009-01-14 09:28:18
436,2009-01-14 09:44:07
437,2009-01-14 10:01:40
438,2009-01-14 10:09:42
439,2009-01-14 10:25:40
440,2009-01-14 10:26:16
